Timestamp,Which age group do you belong to?,What is your employment status?,Which part of the year did you visit USS?,Who did you visit USS with?,What was the main purpose of your visit?,What factors influenced your decision to visit USS? Select all that apply,What concerns did you have before deciding to visit USS?,"On a scale of 1-5, how would you rate your overall experience at USS?",What was the highlight of your visit?,How would you describe USS' brand image before visiting?,How did you first hear about Universal Studios Singapore?,"How easy was it to find relevant information about USS online (ticket pricing, attractions, events, etc.)?",Have you seen any recent advertisements or promotions for USS?,What type of promotions or discounts would encourage you to visit USS?,Did you visit the USS website while planning your trip?,"How easy was it to navigate the USS website to find information about tickets, attractions, and events?","Did the website provide clear and sufficient information about ticket prices, promotions, and park rules?",What features would improve your experience on the USS website? (Select all that apply),Did you use the USS mobile app before your visit?,"If you used the USS app, how would you rate its ease of use?",What USS app features did you find most helpful? (Select all that apply)  ,What feedback/suggestions would you like to provide for USS website/app?,Which ride or attraction was your favourite?,Why this attraction in particular? ,Which ride or attraction have you had bad experiences with (if any)? ,What made your experience with this ride or attraction unpleasant? ,"Did you experience any rides with longer-than-expected wait times? If yes, which ride(s)?",How long did you wait in line for rides on average during your visit?,"Did you feel that overall, the queueing time was worth the experience of the attraction? ", Were the shows and performances engaging and enjoyable?  ,Did you find the price of the general admission ticket reasonable for the experience provided?,Did you purchase the Express Pass?,"If you purchased the Express Pass, how would you rate the value of the Express Pass in relation to the experience it provided?",Please rank the following factors in terms of how they influenced your opinion on ticket prices  [Waiting times],Please rank the following factors in terms of how they influenced your opinion on ticket prices  [Ride variety ],"Please rank the following factors in terms of how they influenced your opinion on ticket prices  [Ride experience (quality, theme, etc.)]","Please rank the following factors in terms of how they influenced your opinion on ticket prices  [Overall park experience (atmosphere, entertainment, etc.)]",Please rank the following factors in terms of how they influenced your opinion on ticket prices  [Customer Service], Did you find a good variety of food options?  ,Were there enough affordable and accessible meal choices?  ,Were there enough kid-friendly meal choices?, How would you rate the food quality and service?  ,Did you stay at a nearby hotel or within Resorts World Sentosa?   ,"If you booked a nearby accommodation, how was the experience? ",Was the accommodation convenient and family-friendly?  ,Have you reached out to USS customer service before your visit?,"If you interacted with USS customer service, how satisfied were you with the response time and assistance?",Were the park staff at USS friendly and helpful? Rate on a scale from 1-5.,"Did you encounter any issues that required assistance, and how were they handled?  ",Would you choose to revisit USS?,"If you answered 'No' or 'Maybe', please explain why. ",What changes or improvements would make your next visit better?  ,Would you recommend USS to others?,Please state your reason for the previous question.
2/28/2025 17:19:08,Below 12 years old,Student,January - March,Friends,Social gathering,Special events or themed attractions,Ride wait times and crowd levels,5,Thrilling rides,Exciting and thrilling rides,Word of mouth,3,"No, I haven't seen any ads",Discounted tickets,No,,Not applicable (Did not use the website),Not applicable (Did not use the website),Yes,4,"Online ticket booking, Interactive park map, Show schedules and ride wait times",,CYLON,The upside down turn,Not applicable,,,31 to 45 minutes,5,3,Yes,No,,2,3,5,4,1,Yes,Yes,Yes,3,No,NIL,Not applicable,"No, I did not",,3,NIL,Yes,,More roller coasters,Yes,Many fun rides
2/28/2025 17:25:59,25 - 34 years old,Employed,July - September,Colleagues,Business/Corporate event,Special events or themed attractions,Ride wait times and crowd levels,4,"Thrilling rides, Overall park atmosphere and theme",Place for young people to enjoy,Social media,,"No, I haven't seen any ads","Discounted tickets, Seasonal event promotions",No,,Not applicable (Did not use the website),Not applicable (Did not use the website),"No, I didn't find it necessary",,Not applicable (Did not use the app),,Transformers,Cool attraction,Not applicable,,,15 to 30 minutes,3,,Yes,No,,3,1,4,5,2,Yes,Yes,Yes,3,No,NIL,Not applicable,"No, I did not",,3,NIL,No,Only visited for company event ,Shorter wait times,Yes,Most people will enjoy the rides
3/1/2025 11:04:36,18 - 24 years old,Employed,Can't recall / Not sure,Alone,Solo adventure,Reputation as a top theme park in Asia,"Park cleanliness and hygiene, Accessibility and transportation",4,Shorter queue times and Express Pass benefits,Exciting and thrilling rides,Word of mouth,4,Yes and they influenced my decision to visit,Bundle deals (hotel + ticket packages etc.),Yes,4,"Yes, everything was clear",Live updates on crowd levels and wait times,Yes,4,Show schedules and ride wait times,,Sesame Street Spaghetti Space Chase,It was a newly built ride when i went,Not applicable,,Transformers,More than 90 minutes,3,4,Yes,Yes,4,1,4,2,3,5,No,No,No,2,No,NIL,No,"Yes, via email",4,4,NIL,Yes,,Discounted tickets,Yes,It is a nice atmosphere
3/1/2025 12:08:55,18 - 24 years old,Student,October - December,"Family (including children), Friends",Family outing,"Reputation as a top theme park in Asia, Friends or family recommendations","Ride wait times and crowd levels, Food options and prices",4,"Thrilling rides, Live shows and entertainment, Overall park atmosphere and theme",Exciting and thrilling rides,Word of mouth,3,"Yes, but they did not influence my decision","Discounted tickets, Seasonal event promotions",Yes,2,"Yes, everything was clear","More detailed ride descriptions and photos/videos, More user-friendly ticket booking process, Live updates on crowd levels and wait times","No, I didn't know there was an app",,Not applicable (Did not use the app),,Transformers,Right thrill level for me ,Transformers,Long wait times and break down,Revenge of the Mummy,61 to 90 minutes,4,4,Yes,No,,2,5,4,3,1,Yes,No,,4,No,NIL,Not applicable,"No, I did not",,4,NIL,Yes,,NIL,Yes,It is worth the money (many rides for different thrill levels and the vibes are immaculate - feels like I'm not in Singapore) 
3/1/2025 12:16:42,18 - 24 years old,Student,October - December,"Family (adults only), Friends",Family outing,Friends or family recommendations,"Ride wait times and crowd levels, Food options and prices",3,"Thrilling rides, Live shows and entertainment",Exciting and thrilling rides,Word of mouth,3,"No, I haven't seen any ads","Discounted tickets, Bundle deals (hotel + ticket packages etc.), Seasonal event promotions, Family/group discounts",No,3,Not applicable (Did not use the website),Not applicable (Did not use the website),"No, I didn't know there was an app",,Not applicable (Did not use the app),,HUMAN,"Crazy ride, my sister was too scared to join tho (⁠ʘ⁠ᴗ⁠ʘ⁠✿⁠)",Transformers,Got stuck half way ,"HUMAN, CYLON, Transformers, Revenge of the Mummy, Sesame Street Spaghetti Space Chase, Puss in Boots, Canopy Flyer",31 to 45 minutes,2,3,Yes,No,,1,5,4,3,2,Yes,Yes,,3,No,Nil,Yes,"No, I did not",,3,Nil,No,My legs can't take it with the long waiting line .⁠·⁠´⁠¯⁠`⁠(⁠>⁠▂⁠<⁠)⁠´⁠¯⁠`⁠·⁠.,"Due to COVID-19, the waiting time was appalling but lately the waiting time is ok I guess. ",No,Overpriced tickets in this economy ヽ⁠(⁠(⁠◎⁠д⁠◎⁠)⁠)⁠ゝ
3/1/2025 12:57:38,18 - 24 years old,Student,October - December,Friends,Social gathering,"Reputation as a top theme park in Asia, Social media content (Instagram, Youtube, Tiktok, etc), Special events or themed attractions","Ticket pricing and affordability, Ride wait times and crowd levels",4,"Thrilling rides, Live shows and entertainment, Overall park atmosphere and theme",Exciting and thrilling rides,Word of mouth,3,"Yes, but they did not influence my decision","Discounted tickets, Bundle deals (hotel + ticket packages etc.), Seasonal event promotions, Family/group discounts",No,,Not applicable (Did not use the website),Not applicable (Did not use the website),"No, I didn't know there was an app",,Not applicable (Did not use the app),,CYLON,Got Loop de loop,Not applicable,,Revenge of the Mummy,46 to 60 minutes,2,5,Yes,No,,3,2,4,5,1,No,No,Yes,2,No,NIL,Not applicable,"No, I did not",,4,NIL,Yes,,Cheaper fnb prices,Yes,Fun
3/1/2025 13:29:55,25 - 34 years old,Employed,October - December,Family (including children),Family outing,"Positive online reviews, Reputation as a top theme park in Asia, Friends or family recommendations","Ticket pricing and affordability, Ride wait times and crowd levels, Park cleanliness and hygiene",4,"Thrilling rides, Shorter queue times and Express Pass benefits, Overall park atmosphere and theme",Exciting and thrilling rides,Word of mouth,3,"No, I haven't seen any ads","Discounted tickets, Bundle deals (hotel + ticket packages etc.), Family/group discounts",Yes,3,"Yes, everything was clear","More user-friendly ticket booking process, Live updates on crowd levels and wait times, More accessible customer support (Live Chat, FAQ, etc)","No, I didn't know there was an app",,Not applicable (Did not use the app),,Puss in Boots,"Exciting , Family Friendly",Not applicable,,"HUMAN, CYLON, Revenge of the Mummy",15 to 30 minutes,3,5,Yes,Yes,5,4,2,5,3,1,No,No,Yes,2,No,NIL,Not applicable,"No, I did not",,4,"Need to clarify if my kid , who was barely above the minimum height limit , could sit on the ride safely ",Yes,,"Park is messy without a map , few rest area and food is expensive",Yes,good for family outing .
3/1/2025 14:27:58,25 - 34 years old,Student,Can't recall / Not sure,"Family (including children), Friends",Family outing,Special events or themed attractions,"Ride wait times and crowd levels, Food options and prices",4,"Thrilling rides, Live shows and entertainment, Overall park atmosphere and theme",High quality and premium entertainment,Social media,4,"No, I haven't seen any ads",Discounted tickets,Yes,4,"Yes, everything was clear","More detailed ride descriptions and photos/videos, More user-friendly ticket booking process","No, I didn't find it necessary",,na,nil,CYLON,thrilling ,Not applicable,,Revenge of the Mummy,31 to 45 minutes,4,4,Yes,No,,4,2,3,5,1,Yes,Yes,Yes,4,No,nil,Yes,"No, I did not",,5,nil,Yes,,na,Yes,fun
3/1/2025 15:23:04,18 - 24 years old,Student,July - September,"Family (including children), Family (adults only)",Family outing,Special events or themed attractions,"Ticket pricing and affordability, Ride wait times and crowd levels",4,"Thrilling rides, Shorter queue times and Express Pass benefits",Fun and family-friendly,Word of mouth,3,"Yes, but they did not influence my decision","Bundle deals (hotel + ticket packages etc.), Seasonal event promotions, Family/group discounts",No,,Not applicable (Did not use the website),Not applicable (Did not use the website),"No, I didn't find it necessary",,Not applicable (Did not use the app),,CYLON,It was very fun,Not applicable,,,15 to 30 minutes,5,5,Yes,No,,5,1,4,3,2,No,Yes,,4,No,Nil,Not applicable,"No, I did not",,4,NIL,No,I am someone who doesn't visit a place twice,More seats for people,Yes,It is a nice experience and the place is so safe and clean
3/1/2025 15:39:31,18 - 24 years old,Student,Can't recall / Not sure,"Family (including children), Friends",Family outing,"Friends or family recommendations, Special events or themed attractions","Ticket pricing and affordability, Ride wait times and crowd levels, Food options and prices, Accessibility and transportation",4,"Thrilling rides, Live shows and entertainment, Overall park atmosphere and theme",Exciting and thrilling rides,Travel agencies/tour packages,5,"Yes, but they did not influence my decision","Discounted tickets, Bundle deals (hotel + ticket packages etc.), Seasonal event promotions, Family/group discounts",Yes,2,"Yes, everything was clear","Faster loading times, More detailed ride descriptions and photos/videos, Live updates on crowd levels and wait times, More accessible customer support (Live Chat, FAQ, etc)","No, I didn't know there was an app",,Not applicable (Did not use the app),,Transformers,Seems interesting in the first glance and I like transformers,Not applicable,,,15 to 30 minutes,3,3,No,No,,3,2,1,4,5,No,No,No,3,No,NIL,Not applicable,"No, I did not",,4,NIL,Yes,,Discount price for students like Gardens by the Bay that offers similar experience in much more affordable price,Yes,Very fun experience
3/1/2025 16:17:57,12 - 17 years old,Student,April - June,Friends,Social gathering,"Friends or family recommendations, Special events or themed attractions","Ride wait times and crowd levels, Food options and prices, Accessibility and transportation",2,"Thrilling rides, Live shows and entertainment",Exciting and thrilling rides,Online ads,4,Yes and they influenced my decision to visit,"Discounted tickets, Seasonal event promotions",No,,Not applicable (Did not use the website),"Faster loading times, Live updates on crowd levels and wait times","No, I didn't know there was an app",,Not applicable (Did not use the app),,Transformers,airconditioned queue in the shade & ride fun and interactive on screen ,Canopy Flyer,very very long queue in the sun,Canopy Flyer,31 to 45 minutes,3,3,Yes,No,,4,2,5,3,1,No,No,No,2,No,NIL,Not applicable,"No, I did not",,5,NIL,Maybe,"very hot in sg weather, not many places to sit and rest","need more shaded rest areas with chairs, always see people sitting around on rocks/plant areas etc instead of proper chairs",Yes,quite fun for young people and queue is honestly not too bad if you come at a non-peak time like saturday afternoons
3/1/2025 18:23:46,18 - 24 years old,Student,October - December,Friends,Social gathering,Special events or themed attractions,Ride wait times and crowd levels,3,"Thrilling rides, Live shows and entertainment",High quality and premium entertainment,Word of mouth,4,Yes and they influenced my decision to visit,"Discounted tickets, Bundle deals (hotel + ticket packages etc.), Family/group discounts",Yes,3,"Yes, everything was clear",Better mobile optimisation,Yes,4,"Interactive park map, Show schedules and ride wait times",,Revenge of the Mummy,shorter queue times,Not applicable,,no,46 to 60 minutes,3,3,No,No,,2,4,3,1,5,Yes,No,Yes,3,No,nil,Not applicable,"Yes, via phone",,4,nil,Maybe,the long queue times and huge crowds affect the experience negatively ,limit the crowd sizes and better queue management ,No,crowds and queue
3/1/2025 19:29:19,18 - 24 years old,Student,Can't recall / Not sure,Friends,Social gathering,Friends or family recommendations,Ticket pricing and affordability,3,Overall park atmosphere and theme,High quality and premium entertainment,Social media,4,"Yes, but they did not influence my decision",Discounted tickets,No,,Not applicable (Did not use the website),Live updates on crowd levels and wait times,"No, I didn't know there was an app",,Interactive park map,,Revenge of the Mummy,it was highly recommended,Not applicable,,Revenge of the Mummy,46 to 60 minutes,3,4,No,No,,3,2,4,5,1,No,No,No,4,No,nil,No,"No, I did not",4,4,nil,Maybe,not a go to choice,make it more attractive,Yes,ony theme park ish in sg
3/1/2025 21:19:20,18 - 24 years old,Student,April - June,Friends,"Special event / Celebration (eg. birthday, anniversary)",Positive online reviews,"Ride wait times and crowd levels, Food options and prices",4,Shopping and merchandise,Fun and family-friendly,Online ads,3,"Yes, but they did not influence my decision",Bundle deals (hotel + ticket packages etc.),Yes,2,"No, it was unclear and needed more information",More user-friendly ticket booking process,"No, I didn't find it necessary",3,Show schedules and ride wait times,,Revenge of the Mummy,Air con,CYCLON,,Transformers,Less than 15 minutes,4,3,Yes,Yes,2,1,2,4,3,5,Yes,Yes,Yes,3,Yes,Nil,Yes,"Yes, via phone",2,3,Nil,Yes,,Nil,Yes,Nil
3/1/2025 21:31:18,18 - 24 years old,Student,Can't recall / Not sure,Family (adults only),Family outing,"Reputation as a top theme park in Asia, Friends or family recommendations","Ticket pricing and affordability, Ride wait times and crowd levels",2,Live shows and entertainment,Fun and family-friendly,Travel agencies/tour packages,4,"No, I haven't seen any ads",Discounted tickets,No,,Not applicable (Did not use the website),Not applicable (Did not use the website),"No, I didn't know there was an app",,Not applicable (Did not use the app),,Sesame Street Spaghetti Space Chase,I only went on this ride because I don't really like theme park rides and I had also injured my leg the day before.,Not applicable,,,31 to 45 minutes,2,3,No,No,,1,4,2,3,5,Yes,Yes,,3,No,NIL,Not applicable,"No, I did not",,4,NIL,No,I'm not a fan of theme parks.,I don't think anything could make it better because I don't really like theme parks and rides.,No,I'm not a fan of theme parks.
3/1/2025 21:35:44,18 - 24 years old,Student,October - December,Friends,Social gathering,Friends or family recommendations,"Ticket pricing and affordability, Ride wait times and crowd levels",3,Shorter queue times and Express Pass benefits,Fun and family-friendly,Word of mouth,3,"Yes, but they did not influence my decision","Discounted tickets, Family/group discounts",Yes,3,"Somewhat clear, but some details were missing",Better mobile optimisation,"No, I didn't know there was an app",,Not applicable (Did not use the app),,Revenge of the Mummy,It moves backwards,Transformers,Makes me dizzy with the 3d images,,15 to 30 minutes,3,3,No,No,,1,2,3,4,5,Yes,No,Yes,3,No,NIL,Not applicable,"No, I did not",,3,NIL,Yes,,"Cheaper tickets please, thank you.",No,Not sure
3/1/2025 21:42:59,18 - 24 years old,Student,Can't recall / Not sure,Family (including children),Family outing,Reputation as a top theme park in Asia,Ride wait times and crowd levels,3,Overall park atmosphere and theme,Exciting and thrilling rides,Word of mouth,4,"No, I haven't seen any ads","Discounted tickets, Family/group discounts",Yes,3,"Yes, everything was clear","Better mobile optimisation, Faster loading times, More detailed ride descriptions and photos/videos, More user-friendly ticket booking process, Live updates on crowd levels and wait times, More accessible customer support (Live Chat, FAQ, etc)","No, I didn't know there was an app",,Not applicable (Did not use the app),,HUMAN,ok,Not applicable,,,61 to 90 minutes,2,,Yes,No,,1,5,4,3,2,No,No,,3,No,no,Not applicable,"No, I did not",3,3,no,Yes,,ok,Yes,ok
3/1/2025 22:35:45,25 - 34 years old,Student,Can't recall / Not sure,Alone,Social gathering,"Social media content (Instagram, Youtube, Tiktok, etc), Special events or themed attractions","Ticket pricing and affordability, Ride wait times and crowd levels",3,Thrilling rides,Fun and family-friendly,Social media,4,Yes and they influenced my decision to visit,"Discounted tickets, Seasonal event promotions",Yes,2,"Somewhat clear, but some details were missing","Better mobile optimisation, More detailed ride descriptions and photos/videos, More user-friendly ticket booking process, Live updates on crowd levels and wait times","No, I didn't know there was an app",3,Online ticket booking,,Canopy Flyer,It's fun,Revenge of the Mummy,Scary,,31 to 45 minutes,4,4,No,No,,3,2,1,4,5,No,No,Yes,4,No,NIL,Not applicable,"No, I did not",,5,NIL,Maybe,,-,No,-
3/2/2025 0:41:57,18 - 24 years old,Student,January - March,Family (including children),Family outing,Reputation as a top theme park in Asia,"Ticket pricing and affordability, Ride wait times and crowd levels",4,Overall park atmosphere and theme,Exciting and thrilling rides,Word of mouth,5,"Yes, but they did not influence my decision","Discounted tickets, Seasonal event promotions",Yes,2,"Yes, everything was clear","More detailed ride descriptions and photos/videos, Live updates on crowd levels and wait times","No, I didn't know there was an app",,Show schedules and ride wait times,,Sesame Street Spaghetti Space Chase,"It’s cute and fun at the same time, not too scary","CYCLON, Revenge of the Mummy",Queue was very long,"HUMAN, CYLON, Revenge of the Mummy",15 to 30 minutes,4,4,Yes,Yes,3,2,5,1,3,4,No,No,No,3,No,Nil,Not applicable,"Yes, via email",5,4,Nil,No,I already tried most of the rides,Not sure,Yes,Fun experience that they must go once
3/2/2025 6:20:29,18 - 24 years old,Student,October - December,Romantic partner,Date/Romantic experience,Special events or themed attractions,"Ticket pricing and affordability, Ride wait times and crowd levels",4,"Thrilling rides, Overall park atmosphere and theme",Exciting and thrilling rides,Word of mouth,5,"Yes, but they did not influence my decision","Discounted tickets, Seasonal event promotions",Yes,4,"Yes, everything was clear",Live updates on crowd levels and wait times,"No, I didn't know there was an app",,Not applicable (Did not use the app),,CYLON,most thrilling,Not applicable,,,46 to 60 minutes,3,2,Yes,No,,3,2,5,4,1,No,Yes,Yes,3,No,nil,Not applicable,"No, I did not",,4,nil,Maybe,maybe in a few years with a different group of people,shorter wait times,Yes,quite fun for first timers especially when visitng HHN
3/2/2025 10:47:35,18 - 24 years old,Student,October - December,"Family (including children), Friends",Social gathering,"Reputation as a top theme park in Asia, Friends or family recommendations, Social media content (Instagram, Youtube, Tiktok, etc)","Ticket pricing and affordability, Ride wait times and crowd levels",4,"Thrilling rides, Live shows and entertainment, Overall park atmosphere and theme",Fun and family-friendly,Word of mouth,5,"Yes, but they did not influence my decision","Discounted tickets, Seasonal event promotions, Family/group discounts",No,,Not applicable (Did not use the website),Not applicable (Did not use the website),"No, I didn't know there was an app",,Not applicable (Did not use the app),,Canopy Flyer,fun but not too scary,Not applicable,,Revenge of the Mummy,61 to 90 minutes,3,4,Yes,No,4,1,3,4,2,5,No,No,Yes,2,No,NIL,Not applicable,"No, I did not",,4,NIL,No,i've been there too many times and the theme park is considered quite small so i've ridden almost all rides so it's not worth my money,more variety of rides,Yes,fun
3/2/2025 12:44:12,18 - 24 years old,Student,Can't recall / Not sure,"Family (adults only), Friends",Social gathering,Special events or themed attractions,"Ticket pricing and affordability, Ride wait times and crowd levels",4,Thrilling rides,Fun and family-friendly,Word of mouth,4,"Yes, but they did not influence my decision",Discounted tickets,Yes,4,"Yes, everything was clear","More user-friendly ticket booking process, Live updates on crowd levels and wait times","No, I didn't find it necessary",,Online ticket booking,,Revenge of the Mummy,Fun,Not applicable,,,46 to 60 minutes,3,,Yes,No,,1,3,2,4,5,No,No,Yes,4,No,NIL,Not applicable,"No, I did not",,4,NIL,Yes,,Less queueing time,Yes,Still a fun place to go!
3/2/2025 13:53:44,18 - 24 years old,Student,October - December,Friends,Social gathering,"Positive online reviews, Friends or family recommendations","Ticket pricing and affordability, Ride wait times and crowd levels",4,"Thrilling rides, Shorter queue times and Express Pass benefits",Fun and family-friendly,Word of mouth,5,"No, I haven't seen any ads",Discounted tickets,No,,"Yes, everything was clear",Not applicable (Did not use the website),"No, I didn't know there was an app",,Not applicable (Did not use the app),,CYLON,most thrilling,Sesame Street Spaghetti Space Chase,it was very boring & disappointing especially after waiting for a long time,"Revenge of the Mummy, Sesame Street Spaghetti Space Chase",Less than 15 minutes,4,4,Yes,No,,4,3,2,1,5,Yes,No,,4,No,NIL,Not applicable,"No, I did not",,5,NIL,Yes,,More ride variety,Yes,Fun & exciting atmosphere
3/2/2025 14:25:33,18 - 24 years old,Student,January - March,Family (adults only),Family outing,Friends or family recommendations,Ticket pricing and affordability,4,Thrilling rides,Fun and family-friendly,Word of mouth,4,"No, I haven't seen any ads",Family/group discounts,Yes,4,"Yes, everything was clear","Better mobile optimisation, Faster loading times","No, I didn't know there was an app",,Not applicable (Did not use the app),,CYLON,It was fun,Not applicable,,,15 to 30 minutes,3,4,Yes,No,,5,1,2,3,4,Yes,Yes,,3,No,NIL,Not applicable,"No, I did not",,4,NIL,Maybe,,NIL,Yes,NIL
3/2/2025 14:37:05,18 - 24 years old,Student,October - December,"Family (including children), Friends",Social gathering,"Friends or family recommendations, Special events or themed attractions","Ticket pricing and affordability, Ride wait times and crowd levels",3,"Thrilling rides, Overall park atmosphere and theme",Exciting and thrilling rides,Social media,4,"No, I haven't seen any ads","Discounted tickets, Bundle deals (hotel + ticket packages etc.), Seasonal event promotions, Family/group discounts",No,,Not applicable (Did not use the website),Not applicable (Did not use the website),"No, I didn't know there was an app",,Not applicable (Did not use the app),,Revenge of the Mummy,It’s in the dark and gives the sense of not knowing what is next,Not applicable,,,46 to 60 minutes,2,3,Yes,No,,1,2,3,4,5,No,No,,3,No,NIL,Not applicable,"No, I did not",,4,NIL,Maybe,Without discounts or any special events I would not choose to go,Have more events and occasional change up the attractions inside,Yes,If visiting sg uss is a good spot to visit and have fun
3/2/2025 14:48:25,18 - 24 years old,Student,January - March,Romantic partner,Date/Romantic experience,Reputation as a top theme park in Asia,Ride wait times and crowd levels,5,"Thrilling rides, Overall park atmosphere and theme",High quality and premium entertainment,Word of mouth,5,"No, I haven't seen any ads",Discounted tickets,No,,Not applicable (Did not use the website),"Not applicable (Did not use the website), u宿舍","No, I didn't find it necessary",,Not applicable (Did not use the app),,CYLON,The upside down parts ,Not applicable,,,15 to 30 minutes,5,5,Yes,No,,1,3,2,4,5,Yes,Yes,Yes,5,No,Nil,Not applicable,"No, I did not",,4,Nil,Yes,,It was perfect,Yes,"My girlfriend and I actually had a really good time at USS because the day we went the weather was kind of cloudy and it rained a little bit which I think probably discouraged some visitors from going, but that means lines were pretty short and then it was not too hot. It was just nice and then we also managed to watch this amazing water show which featured acrobatic stunts, boat, chases, fight scenes, and fire explosions"
3/2/2025 14:51:42,18 - 24 years old,Employed,Can't recall / Not sure,Friends,Social gathering,Reputation as a top theme park in Asia,"Ticket pricing and affordability, Ride wait times and crowd levels",4,Overall park atmosphere and theme,Fun and family-friendly,Social media,4,"No, I haven't seen any ads","Discounted tickets, Seasonal event promotions, Family/group discounts",Yes,4,"Somewhat clear, but some details were missing","Better mobile optimisation, More detailed ride descriptions and photos/videos, More user-friendly ticket booking process, Live updates on crowd levels and wait times","No, I didn't know there was an app",,Not applicable (Did not use the app),,CYLON,exciting,Not applicable,,"HUMAN, CYLON",31 to 45 minutes,3,4,Yes,No,,1,2,4,5,3,No,No,,4,No,NIL,Not applicable,"No, I did not",,4,NIL,Maybe,,discount/new theme,Yes,Must-visit place if travel to SG
3/2/2025 14:58:44,18 - 24 years old,Student,October - December,Friends,Social gathering,Friends or family recommendations,Ticket pricing and affordability,3,Live shows and entertainment,High quality and premium entertainment,Word of mouth,5,"No, I haven't seen any ads",Discounted tickets,No,2,"Yes, everything was clear",Live updates on crowd levels and wait times,"No, I didn't know there was an app",,Not applicable (Did not use the app),,Revenge of the Mummy,Eye-opener for a new way of rollercoaster ,CYCLON,Long waiting time,"HUMAN, CYLON",46 to 60 minutes,2,4,Yes,No,2,1,3,2,5,4,No,No,,3,No,NIL,Not applicable,"No, I did not",,4,NIL,Yes,,Shorter waiting time and more varieties of rides,Yes,It’s one of the biggest attraction in singspore
3/2/2025 15:01:39,18 - 24 years old,Student,October - December,Friends,Social gathering,Reputation as a top theme park in Asia,"Ticket pricing and affordability, Ride wait times and crowd levels",4,"Thrilling rides, Shorter queue times and Express Pass benefits",High quality and premium entertainment,Social media,4,"No, I haven't seen any ads",Discounted tickets,No,3,"Somewhat clear, but some details were missing",Not applicable (Did not use the website),"No, I didn't find it necessary",,Not applicable (Did not use the app),,Revenge of the Mummy,Intense,Sesame Street Spaghetti Space Chase,,,46 to 60 minutes,3,3,No,Yes,4,3,4,5,2,1,No,Yes,,3,No,Nil,Not applicable,"No, I did not",,4,Nil,Maybe,If there’s special occasions,More rides,Yes,It’s an attraction site in singapore
3/2/2025 15:02:09,25 - 34 years old,Employed,Can't recall / Not sure,"Friends, Romantic partner, Alone","Special event / Celebration (eg. birthday, anniversary)","Positive online reviews, Reputation as a top theme park in Asia, Social media content (Instagram, Youtube, Tiktok, etc)","Park cleanliness and hygiene, Accessibility and transportation",4,"Food and dining experience, Shopping and merchandise",High quality and premium entertainment,Social media,5,Yes and they influenced my decision to visit,Discounted tickets,Yes,4,"Somewhat clear, but some details were missing",More detailed ride descriptions and photos/videos,Yes,5,"Online ticket booking, Interactive park map, Show schedules and ride wait times",,Revenge of the Mummy,Exciting,"CYCLON, Puss in Boots",,"Revenge of the Mummy, Puss in Boots",61 to 90 minutes,2,4,No,Yes,3,1,5,3,2,4,No,No,Yes,1,No,NIL,Yes,"Yes, via phone",4,4,NIL,Yes,,Food and ride,Yes,Fun ride
3/2/2025 15:09:15,18 - 24 years old,Student,October - December,"Family (including children), Friends",halloween horror night,"Reputation as a top theme park in Asia, Special events or themed attractions","Ticket pricing and affordability, Ride wait times and crowd levels",4,"Thrilling rides, Overall park atmosphere and theme",Fun and family-friendly,Word of mouth,4,"Yes, but they did not influence my decision","Discounted tickets, Seasonal event promotions, Family/group discounts",No,,Not applicable (Did not use the website),"Better mobile optimisation, More detailed ride descriptions and photos/videos, More user-friendly ticket booking process, Live updates on crowd levels and wait times",Yes,4,"Interactive park map, Show schedules and ride wait times",better uiux,CYLON,Exciting,"CYCLON, Transformers, Revenge of the Mummy, Puss in Boots",ni l,"CYLON, Revenge of the Mummy",31 to 45 minutes,3,4,Yes,No,,4,3,2,1,5,Yes,Yes,Yes,4,No,nil,Not applicable,"No, I did not",,4,yes， not sure where to find certain things they were able to direct me,Maybe,"Depends on who I’m going with and why, USS if it’s Halloween horror night i won’t be going unless company social event, if it’s a pure social event to meet and make new friends I won’t consider at all",Nil,Yes,"For people that did not visit theme parks before sure, but if people went to uss Japan and or other theme parks that are bigger and more well known, no"
3/2/2025 15:43:21,18 - 24 years old,Student,Can't recall / Not sure,Alone,Social gathering,"Social media content (Instagram, Youtube, Tiktok, etc)",Food options and prices,5,Food and dining experience,Fun and family-friendly,Social media,5,"No, I haven't seen any ads",Discounted tickets,No,3,"Yes, everything was clear","Better mobile optimisation, More user-friendly ticket booking process","No, I didn't know there was an app",,Not applicable (Did not use the app),,Transformers,Convenient,Transformers,Convenient,Transformers,31 to 45 minutes,4,5,Yes,Yes,5,5,2,3,4,1,Yes,Yes,Yes,5,No,NIL,Yes,"No, I did not",,5,NIL,Yes,,No,No,I don't like recommend to others
3/2/2025 16:01:27,12 - 17 years old,Employed,July - September,Friends,Social gathering,"Social media content (Instagram, Youtube, Tiktok, etc)",Ride wait times and crowd levels,2,"Thrilling rides, Live shows and entertainment",Exciting and thrilling rides,Word of mouth,4,"Yes, but they did not influence my decision",Seasonal event promotions,No,,"Somewhat clear, but some details were missing",Faster loading times,"No, I didn't find it necessary",4,Not applicable (Did not use the app),,Revenge of the Mummy,It’s fun and funny ,Not applicable,,Sesame Street Spaghetti Space Chase,More than 90 minutes,2,3,Yes,No,3,3,2,1,4,5,No,No,No,4,No,NIL,Not applicable,"Yes, via social media",2,3,NIL,Yes,,Nil,Yes,It’s fun 
